,title,subtitle,link
0,TAGLIA-TEN-E,,https://www.thesun.co.uk/sport/19447062/erik-ten-hag-italian-restaurant-man-utd-brighton/
1,GIGGS 'ABUSE',Giggs 'kicked naked girlfriend out of 5-star hotel in row over him flirting',https://www.thesun.co.uk/sport/19446490/ryan-giggs-trial-control-assault-ex-girlfriend/
2,,,https://www.thesun.co.uk/sport/19448622/marko-arnautovic-agent-confirms-man-utd-interest/
3,NO TIME TO WAITE,Barca fans BOO Braithwaite amid pay cut row as Umtiti ducks presentation,https://www.thesun.co.uk/sport/football/19451316/martin-braithwaite-booed-barcelona-samuel-umtiti/
4,,,https://www.thesun.co.uk/sport/betting-tips/17657477/betvictor-free-bets-bonus-offers-horse-racing-new-customer/
5,FRED DREAD,,https://www.thesun.co.uk/sport/19450977/man-united-fans-fred-the-red-reaction-brighton-loss/
6,BARC-ING MAD,Barcelona threatening legal action against Man Utd transfer target De Jong,https://www.thesun.co.uk/sport/football/19449184/barcelona-legal-action-man-utd-transfer-frenkie-de-jong/
7,WALK OUT,Ten Hag should QUIT Man Utd if his transfer demands aren't met by greedy Glazers,https://www.thesun.co.uk/sport/19451581/ten-hag-quit-transfer-demands-glazers-out/
8,CALL UP,Callum Hudson-Odoi ‘in talks with Borussia Dortmund’ over loan move after request,https://www.thesun.co.uk/sport/19451025/chelsea-callum-hudson-odoi-talks-borussia-dortmund-loan-transfer/
9,STICK AT IT,Dream Team offering monthly prizes this season - starting with a PS5 in August!,https://www.thesun.co.uk/dream-team/fantasy-football/19386366/monthly-prizes-fantasy-football-premier-league-playstation/
10,SAINT-SATIONAL,,https://www.thesun.co.uk/sport/football/19447778/allan-saint-maximin-newcastle-rolex-watch-nottingham-forest/
11,ISSA HAPPENING,Fulham 'agree sensational £17m Diop transfer with star penning 5-year deal',https://www.thesun.co.uk/sport/football/19448216/fulham-issa-diop-transfer-west-ham/
12,,,https://www.thesun.co.uk/sport/football/19449334/mark-lawrenson-bbc-classified-results/
13,MUM'S THE WORD,Man Utd agree Adrien Rabiot deal but must work out terms with his MUM agent,https://www.thesun.co.uk/sport/football/19450424/man-united-rabiot-juventus-transfer/
14,,,https://www.thesun.co.uk/sport/football/19451154/guardiola-haaland-west-ham-debut/
15,MER REAL DEAL,,https://www.thesun.co.uk/sport/football/19450755/arsenal-paul-merson-best-xi-team-mates-man-utd/
16,THEATRE OF SCREAMS,,https://www.thesun.co.uk/sport/football/19444937/man-utd-fans-fight-video-old-trafford-brighton/
17,OVER TO SIU,,https://www.thesun.co.uk/sport/football/19446711/cristiano-ronaldo-sons-jr-mateo-celebrations/
18,'FOR F*** SAKE',Scholes lays into Man Utd's midfielders as Gary Neville says 'he's snapped',https://www.thesun.co.uk/sport/football/19446867/paul-scholes-man-utd-neville/
19,,,https://www.thesun.co.uk/sport/19445051/alan-shearer-erling-haaland-manchester-city/
20,FEVER PITCH,Fulham troll Klopp after ‘dry pitch’ moan with pic of ‘lush turf' being watered,https://www.thesun.co.uk/sport/football/19436803/fulham-troll-liverpool-jurgen-klopp-turf/
21,,,https://www.thesun.co.uk/sport/19448661/west-ham-build-wall-controversial-london-stadium/
22,ING TROUBLE,,https://www.thesun.co.uk/sport/19444603/erling-haaland-sky-sports-manchester-city-west-ham/
23,'ALWAYS RATED HIM..',Arsenal fans in disbelief as Tavares scores SCREAMER on Marseille loan,https://www.thesun.co.uk/sport/19445587/arsenal-nuno-tavares-marseille-ligue-1-folarin-balogun/
24,,,https://www.thesun.co.uk/sport/19443646/manchester-united-cristiano-ronaldo-brighton-erik-ten-hag/
25,WHO ATE ALL THE PIES?,Poll reveals Premier League's fattest fans - are they from your club?,https://www.thesun.co.uk/sport/19444126/poll-premier-league-fattest-fans/
26,,,https://www.thesun.co.uk/sport/19444067/fans-say-same-thing-haaland-debut/
27,DE-LIGHTFUL,,https://www.thesun.co.uk/sport/19449785/robert-lewandowksi-frenkie-de-jong-shine-barcelona/
28,BEN AND GONE,Man Utd to lose out on another target with Benjamin Sesko joining RB Leipzig,https://www.thesun.co.uk/sport/football/19451612/man-utd-transfer-benjamin-sesko-rb-leipzig/
29,,,https://www.thesun.co.uk/sport/19451847/leeds-helder-costa-nuno-espirito-santo-al-ittihad-loan/
30,WELL I NEV-ER,Fuming Gary Neville says Man Utd transfer bids should be REJECTED,https://www.thesun.co.uk/sport/19446460/gary-neville-players-reject-man-utd-ten-hag-shocked/
31,,,https://www.thesun.co.uk/sport/football/19446278/arsenal-moussa-diaby-transfer-leverkusen/
32,NINE? NEIN!,,https://www.thesun.co.uk/sport/football/19433550/chelsea-players-no-9-shirt-cursed-thomas-tuchel/
33,CUFF DIAMOND,Arsenal boost as Brooke Norton-Cuffy signs new deal ahead of potential loan,https://www.thesun.co.uk/sport/football/19450545/arsenal-brooke-norton-cuffy-new-deal-loan/
34,,,https://www.thesun.co.uk/sport/football/19448634/chelsea-timo-werner-rb-leipzig-transfer/
35,PIN IT TO WIN IT,Arsenal and Liverpool ‘line up Yeremy Pino’ with Villarreal ready to sell,https://www.thesun.co.uk/sport/football/19448010/yeremy-pino-arsenal-liverpool-transfer/
36,,,https://www.thesun.co.uk/sport/19444181/liverpool-roberto-firmino-naby-keita-inter-marcelo-brozovic/
37,TUCHY SUBJECT,,https://www.thesun.co.uk/sport/football/19431298/chelsea-thomas-tuchel-moans-manager-arsenal-arteta-klopp/
38,ON YOUR MARKS,Man Utd in talks over SHOCK Marko Arnautovic move as Ten Hag gets desperate,https://www.thesun.co.uk/sport/19442313/man-utd-transfer-marko-arnautovic-bologna/
39,,,https://www.thesun.co.uk/sport/19446937/everton-conor-coady-transfer-wolves-godfrey-broken-leg/
40,FLAWED FOUR,Chelsea set to axe FOUR stars to raise transfer funds,https://www.thesun.co.uk/sport/19446253/chelsea-four-players-axe-transfer-window/
41,,,https://www.thesun.co.uk/sport/19447572/edinson-cavani-boca-juniors-transfer-man-utd-exit/
42,BRING THE PARTY,Get 100% deposit bonus up to £400 & £40 FREE PLAY with Party Poker,https://www.thesun.co.uk/sport/betting-tips/19283142/party-poker-new-customer-offer-deposit-bonus/
43,,,https://www.thesun.co.uk/sport/horseracing/18796015/betfair-free-bets-horse-racing-betting-offers-uk-bonus/
44,,,https://www.thesun.co.uk/sport/betting-tips/16290447/parimatch-free-bets-new-customer-offer-football-bonus-offer/
45,GUNNERS NEWS,"Yeremy Pino lined up, Tielemans deal ON as Torreira leaves, Diaby green light",https://www.thesun.co.uk/sport/19404272/arsenal-transfer-news-live-yeremy-pino-tielemans-moussa-diaby/
46,,,https://www.thesun.co.uk/sport/19207345/chelsea-transfer-news-live-frenkie-de-jong-fofana-werner-aubameyang/
47,,,https://www.thesun.co.uk/sport/19259195/man-utd-transfer-news-live-cristiano-ronaldo-milinkovic-savic-rabiot-arnautovic/
48,GREAT SCOTT!,,https://www.thesun.co.uk/sport/19436087/england-jill-scott-works-coffee-shop-euros-medal/
49,NOU FARCE,Barcelona ‘get £32m tax hit on TV rights and still haven't registered transfers',https://www.thesun.co.uk/sport/19447853/barcelona-32m-tax-hit-tv-rights-register-transfers/
50,,,https://www.thesun.co.uk/sport/19449763/paulo-dybala-worst-corner-romas-shakhtar-donetsk/
51,ACE ‘ATTACK',German international star accused of kicking pregnant ex in stomach,https://www.thesun.co.uk/sport/19446935/germany-borussia-dortmund-nico-schulz-kick/
52,,,https://www.thesun.co.uk/sport/19438998/coventry-rotherham-postponed-pitch-commonwealth-games-rugby/
53,WELL TONED,,https://www.thesun.co.uk/sport/football/19428781/topless-tony-pulis-wife-caribbean-break-football-management/
54,CRIS CROTCH,Ronaldo shows ripped physique in CR7 briefs with cryptic message amid quit saga,https://www.thesun.co.uk/sport/19331971/cristiano-ronaldo-ripped-physique-cr7-briefs/
55,PELLE OF THE BALL,,https://www.thesun.co.uk/sport/football/19418053/southampton-graziano-pelle-wife-bikini/
56,HARRY REDKNAPP,Ronaldo won’t be a problem if he stays… he'll still be United's BEST trainer,https://www.thesun.co.uk/sport/19438946/harry-redknapp-column-cristiano-ronaldo-man-utd-transfer/
57,,,https://www.thesun.co.uk/sport/football/19432836/karren-brady-englands-euros-wsl/
58,,,https://www.thesun.co.uk/sport/football/19439197/dean-henderson-cristiano-ronaldo-man-utd/
59,RED CARD,,https://www.thesun.co.uk/sport/19433074/premier-league-away-kits-rip-fans-off/
60,ZERO OUT OF TEN,,https://www.thesun.co.uk/sport/19448133/man-utd-green-third-kit-brighton-defeat/
61,'BRUTAL',Gillingham owner Paul Scally was targeted by vile fans while caring for dying pal,https://www.thesun.co.uk/sport/19441305/gillingham-paul-scally-interview/
62,TICKLED PINK,,https://www.thesun.co.uk/sport/19441085/ian-wright-pink-shirt-alan-sugar-arsenal-kit/
63,GROOM'S DOOM,Footballer missed own WEDDING to seal transfer but sent brother in his place,https://www.thesun.co.uk/sport/19436049/footballer-missed-wedding-sent-brother-in-place-malmo/
64,,,https://www.thesun.co.uk/sport/19427639/alessia-russo-boots-euros-backheel-goal-tower-london/
